,Unnamed: 0,id,name,position,lastName,age,gender,country,image,worth_in_BUSD,worthChange_in_MSD,realTimeWorth,realTimePosition,Industry,Company
0,0,3614,Anant asavabhokhin & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
1,1,6176,Arash ferdowsi,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
2,2,4405,Banthoon lamsam & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
3,3,7374,Bill adderley & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
4,4,4404,Boris zingarevich,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
5,5,1087,Bryan sheffield,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
6,6,5246,Charles butt & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
7,7,1706,Charles cadogan & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
8,8,8249,Chatri sophonpanich & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
9,9,4018,Daniel ek,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
10,10,5404,Daniel hirschfeld,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
11,11,5705,Daniel tsai & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
12,12,9055,Dieter schaub,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
13,13,5083,Dik wessels,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
14,14,2362,Dong fan,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
15,15,4799,Elisabeth badinter & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
16,16,6534,Frederic luddy,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
17,17,8080,Gao dekang & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
18,18,2146,Hajime satomi,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
19,19,7414,Heinrich deichmann & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
20,20,5123,Hiroshi okura & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
21,21,1178,Husain djojonegoro & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
22,22,5735,Ivan savvidis,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
23,23,3081,Jacques merceron-vicat & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
24,24,7764,James duff,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
25,25,4469,Jean burelle,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
26,26,3627,Jim koch,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
27,27,3101,John armitage,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
28,28,4824,Jonathan harmsworth,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
29,29,8495,Laurent burelle,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
30,30,5773,Lee hwa-kyung,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
31,31,5572,Liu dianbo,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
32,32,1275,Liu gexin,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
33,33,8813,Loretta robinson & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
34,34,1878,Lu feng,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
35,35,1288,Lucio and susan co,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
36,36,1592,Malvinder & shivinder singh,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
37,37,4752,Martin lorentzon,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
38,38,7484,Mary & douglas perkins,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
39,39,4306,Onsi sawiris,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
40,40,7878,Osathanugrah family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
41,41,4662,Philippe laffont,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
42,42,7029,Phornthep phornprapha & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
43,43,2814,Pierre castel & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
44,44,8963,Ray irani,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
45,45,1324,Shoji uehara,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
46,46,4770,Steven roth,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
47,47,1961,Supaluck umpujh & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
48,48,2819,Thomas duff,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
49,49,9150,Zakhar smushkin,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
50,50,6193,Zhang zhongneng & family,,not_name_given,0.0,not_gender_given,not_country_given,,0.0,0.0,,,,
