,id,lastName,age,Unnamed: 0,gender,country,image,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition,id,name,position,Unnamed: 0
19,7353,mA,53 years old,71,None,China,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,7353,71,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18,7353,jacK ma,20.0,71
20,2614,ADELSON,84 years old,72,M,USA,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,2614,72,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16,2614,sHELDON ADELson,21.0,72
21,2751,balLMER,62 years old,73,M,USA,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,2751,73,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22,2751,sTEVE BALLMER,22.0,73
22,7322,LI,90 years old,74,M,None,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,7322,74,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24,7322,LI KA-SHING,23.0,74
23,5166,hUI,59 years old,75,Male,None,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,5166,75,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26,5166,hUI KA Yan,24.0,75
24,6260,LEE,90 years old,76,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,6260,76,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28,6260,lee SHAU kee,25.0,76
25,2128,WANG,63 years old,77,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,2128,77,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27,2128,wang JIANlin,26.0,77
26,7174,albRECHT jr.,66 years old,78,,None,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,7174,78,Fashion & Retail  ==> supermarkets,29.8 BUSD,0.0 millions USD,,29,7174,beate heister & KARL albrecht jr.,27.0,78
27,2056,KNIGHT,80 years old,79,M,None,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,2056,79,Fashion & Retail  ==> Nike,29.6 BUSD,0.0 millions USD,,25,2056,PHIL KNIGHT,28.0,79
28,4180,LEMANn,78 years old,80,None,None,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,4180,80,Food and Beverage  ==> beer,27.4 BUSD,-672.311 millions USD,,30,4180,jorGE PAULO Lemann,29.0,80
29,2284,PINAULt,81 years old,81,M,None,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,2284,81,Fashion & Retail  ==> luxury goods,27.0 BUSD,0.0 millions USD,,23,2284,francoiS PINault,30.0,81
30,6372,SCHAEFFLER,53 years old,82,M,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,6372,82,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40,6372,georg SCHAEFfler,31.0,82
31,5639,klATTEN,56 years old,83,F,None,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,5639,83,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38,5639,susANNE KLAtten,32.0,83
32,5827,tHOMSON,61 years old,84,Male,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,5827,84,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32,5827,david THOMson,33.0,84
33,7106,MARS,78 years old,85,F,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,7106,85,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34,7106,jacqUELINE mars,34.0,85
34,1968,mARS,82 years old,86,Male,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,1968,86,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,35,1968,jOHN MArs,35.0,86
35,3157,SAFRA,79 years old,87,M,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,3157,87,Finance and Investments  ==> banking,23.5 BUSD,0.0 millions USD,,53,3157,JOSEPH SAFRa,36.0,87
36,2665,feRRERo,53 years old,88,M,None,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,2665,88,"Food and Beverage  ==> Nutella, chocolates",23.0 BUSD,0.0 millions USD,,43,2665,giovANNI FERRERO,37.0,88
37,5469,maTESCHITz,74 years old,89,None,Austria,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,5469,89,Food and Beverage  ==> Red Bull,23.0 BUSD,0.0 millions USD,,33,5469,dietriCH MATEschitz,38.0,89
38,5362,dELL,53 years old,90,M,None,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,5362,90,Technology  ==> Dell computers,22.7 BUSD,0.0 millions USD,,36,5362,michAEL DELL,39.0,90
39,6392,sON,60 years old,91,Male,None,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,6392,91,"Telecom  ==> internet, telecom",22.7 BUSD,0.0 millions USD,,42,6392,mASAYOSHI SOn,40.0,91
40,8384,daSSAULT,93 years old,92,M,None,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,8384,92,Diversified  ==> diversified,22.6 BUSD,nan millions USD,,42,8384,sergE DASSault,41.0,92
41,1247,quANDT,52 years old,93,Male,None,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,1247,93,Automotive  ==> BMW,22.0 BUSD,0.0 millions USD,,51,1247,sTEFAN QUANDT,42.0,93
42,2459,YANG,1983,94,F,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,2459,94,Real Estate  ==> real estate,21.9 BUSD,0.0 millions USD,,31,2459,yang HUIYAN,43.0,94
43,9147,alLEn,65 years old,95,Male,None,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,9147,95,"Technology  ==> Microsoft, investments",21.7 BUSD,0.0 millions USD,,49,9147,pAUL ALLEN,44.0,95
44,3242,DEL VECchio,83 years old,96,M,Italy,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,3242,96,Fashion & Retail  ==> eyeglasses,21.2 BUSD,0.006 millions USD,,39,3242,leonARDO DEL vecchio,45.0,96
45,3400,scHWArz,78 years old,97,M,Germany,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,3400,97,Fashion & Retail  ==> retail,20.9 BUSD,0.0 millions USD,,79,3400,dieter SCHwarz,46.0,97
46,4044,PETERFFy,73 years old,98,Male,United States,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,4044,98,Finance and Investments  ==> discount brokerage,20.3 BUSD,0.0 millions USD,,41,4044,thomas PETErffy,47.0,98
47,7529,aLBRECht,67 years old,99,Male,None,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,7529,99,"Fashion & Retail  ==> Aldi, Trader Joe's",20.2 BUSD,0.0 millions USD,,54,7529,"theo ALBRECHT, Jr.",48.0,99
48,9930,bLAVATNik,61 years old,100,M,None,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,9930,100,Diversified  ==> diversified,20.2 BUSD,-0.001 millions USD,,44,9930,lEN BLAVATNIk,49.0,100
49,4082,hE,75 years old,101,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,4082,101,Manufacturing  ==> home appliances,20.1 BUSD,0.001 millions USD,,47,4082,hE XIANGJIan,50.0,101
50,6113,lUI,89 years old,102,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,6113,102,Gambling & Casinos  ==> casinos,20.1 BUSD,0.0 millions USD,,46,6113,lui CHE WOO,51.0,102
51,2863,SIMONS,80 years old,103,M,None,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,2863,103,Finance and Investments  ==> hedge funds,20.0 BUSD,0.0 millions USD,,50,2863,jAMES SIMONS,52.0,103
52,9710,sY,93 years old,104,Male,None,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,9710,104,Diversified  ==> diversified,20.0 BUSD,0.0 millions USD,,67,9710,henRY Sy,53.0,104
53,1208,MUSK,46 years old,105,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,1208,105,Automotive  ==> Tesla Motors,19.9 BUSD,0.0 millions USD,,45,1208,ELON Musk,54.0,105
54,6141,HINDUJA,,106,M,UK,https://specials-images.forbesimg.com/imageserve/5a8159ea4bbe6f2652f547d4/416x416.jpg?background=000000&cropX1=1029&cropX2=3189&cropY1=6&cropY2=2165,6141,106,Diversified  ==> diversified,19.5 BUSD,0.001 millions USD,,61,6141,hINDUJA FAMily,55.0,106
55,4145,yaNAI,69 years old,107,Male,None,https://specials-images.forbesimg.com/imageserve/5ac24e1ca7ea432fbc1dc7fa/416x416.jpg?background=000000&cropX1=874&cropX2=2885&cropY1=491&cropY2=2501,4145,107,Fashion & Retail  ==> fashion retail,19.5 BUSD,0.0 millions USD,,37,4145,taDASHI YAnai,56.0,107
56,4932,liSIN,62 years old,108,M,None,https://specials-images.forbesimg.com/imageserve/5a80c93d31358e4955ad2cb5/416x416.jpg?background=000000&cropX1=9&cropX2=1871&cropY1=148&cropY2=2012,4932,108,"Metals & Mining  ==> steel, transport",19.1 BUSD,0.0 millions USD,,52,4932,VLADIMIR LISIN,57.0,108
57,7912,poWELL JOBS,54 years old,109,None,None,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,7912,109,"Philanthropy/NGO  ==> Apple, Disney",18.8 BUSD,0.0 millions USD,,48,7912,LAURENE POWELl jobs,58.0,109
58,5446,pREMJI,72 years old,110,None,None,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592,5446,110,Technology  ==> software services,18.8 BUSD,0.0 millions USD,,71,5446,AZIM PREMJI,59.0,110
59,9408,mORDAShov,52 years old,111,None,None,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667,9408,111,"Metals & Mining  ==> steel, investments",18.7 BUSD,0.0 millions USD,,60,9408,alexEY MORDAshov,60.0,111
