,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition
72,1993,124,Finance and Investments  ==> investments,16.8 BUSD,0.0 millions USD,,58
73,6485,125,Fashion & Retail  ==> H&M,16.8 BUSD,0.0 millions USD,,78
74,8934,126,"Manufacturing  ==> banking, tobacco",16.7 BUSD,0.0 millions USD,,102
75,4903,127,Real Estate  ==> real estate,16.7 BUSD,-0.001 millions USD,,73
76,1262,128,Real Estate  ==> real estate,16.5 BUSD,0.0 millions USD,,75
77,6987,129,Energy  ==> oil,16.4 BUSD,0.0 millions USD,,69
78,6934,130,Manufacturing  ==> chemicals,16.4 BUSD,0.0 millions USD,,89
79,1175,131,Real Estate  ==> real estate,16.3 BUSD,0.0 millions USD,,76
80,4765,132,Metals & Mining  ==> mining,16.3 BUSD,0.0 millions USD,,70
81,3636,133,"Energy  ==> oil, gas",16.0 BUSD,0.0 millions USD,,74
82,7514,134,Finance and Investments  ==> money management,15.9 BUSD,0.0 millions USD,,72
83,3016,135,Metals & Mining  ==> metals,15.9 BUSD,0.0 millions USD,,82
84,7028,136,Fashion & Retail  ==> Walmart,15.9 BUSD,0.0 millions USD,,101
85,7235,137,Food and Beverage  ==> Heineken,15.8 BUSD,0.0 millions USD,,81
86,8391,138,Technology  ==> internet media,15.6 BUSD,0.0 millions USD,,85
87,2720,139,Finance and Investments  ==> banking,15.5 BUSD,0.0 millions USD,,100
88,1868,140,"Energy  ==> coal, fertilizers",15.5 BUSD,0.303 millions USD,,105
89,8056,141,"Real Estate  ==> investments, real estate",15.5 BUSD,0.0 millions USD,,88
90,5822,142,Logistics  ==> shipping,15.3 BUSD,0.0 millions USD,,99
91,5210,143,Automotive  ==> automobiles,15.3 BUSD,0.0 millions USD,,83
92,1433,144,"Energy  ==> oil, banking, telecom",15.1 BUSD,0.001 millions USD,,106
93,5920,145,"Media & Entertainment  ==> newspapers, TV network",15.0 BUSD,0.0 millions USD,,55
94,1705,146,Diversified  ==> diversified,14.9 BUSD,-0.001 millions USD,,95
95,2042,147,"Diversified  ==> palm oil, shipping, property",14.8 BUSD,0.0 millions USD,,84
96,1176,148,Food and Beverage  ==> cheese,14.7 BUSD,0.001 millions USD,,90
97,4816,149,Technology  ==> software services,14.6 BUSD,0.0 millions USD,,108
98,1988,150,"Energy  ==> metals, energy",14.4 BUSD,0.047 millions USD,,107
99,9806,151,"Manufacturing  ==> cement, sugar, flour",14.1 BUSD,0.001 millions USD,,117
100,9858,152,Energy  ==> oil & gas,14.1 BUSD,0.0 millions USD,,56
101,3274,153,Finance and Investments  ==> hedge funds,14.0 BUSD,0.0 millions USD,,137
102,5970,154,Technology  ==> Facebook,14.0 BUSD,0.0 millions USD,,77
103,8268,155,Food and Beverage  ==> beer,14.0 BUSD,-546.845 millions USD,,109
104,4677,156,Manufacturing  ==> fasteners,13.6 BUSD,0.0 millions USD,,118
105,7971,157,Media & Entertainment  ==> satellite TV,13.4 BUSD,-0.013000000000000001 millions USD,,141
106,3219,158,Technology  ==> Google,13.4 BUSD,-0.001 millions USD,,92
107,4293,159,Finance and Investments  ==> investments,13.0 BUSD,0.0 millions USD,,104
108,5686,160,Media & Entertainment  ==> media,13.0 BUSD,0.0 millions USD,,157
109,2939,161,Media & Entertainment  ==> media,13.0 BUSD,0.0 millions USD,,156
110,2833,162,Fashion & Retail  ==> Chanel,13.0 BUSD,0.0 millions USD,,96
111,1709,163,Fashion & Retail  ==> Chanel,13.0 BUSD,0.0 millions USD,,97
112,1437,164,Fashion & Retail  ==> Estee Lauder,12.9 BUSD,0.0 millions USD,,94
113,4668,165,Construction & Engineering  ==> brakes,12.9 BUSD,0.0 millions USD,,132
114,1266,166,Healthcare  ==> pharmaceuticals,12.8 BUSD,0.0 millions USD,,121
115,9108,167,Technology  ==> software,12.7 BUSD,0.0 millions USD,,103
116,7589,168,Finance and Investments  ==> investments,12.6 BUSD,0.0 millions USD,,111
117,6684,169,Technology  ==> smartphones,12.5 BUSD,-0.001 millions USD,,115
118,9695,170,Manufacturing  ==> packaging,12.5 BUSD,0.0 millions USD,,114
119,7766,171,"Metals & Mining  ==> steel, telecom, investments",12.5 BUSD,0.0 millions USD,,112
120,7091,172,Media & Entertainment  ==> media,12.3 BUSD,0.001 millions USD,,122
121,1237,173,Real Estate  ==> real estate,12.2 BUSD,-0.001 millions USD,,116
122,7172,174,Finance and Investments  ==> banking,12.1 BUSD,-0.001 millions USD,,124
123,1309,175,Technology  ==> internet search,12.0 BUSD,0.0 millions USD,,93
124,4039,176,Food and Beverage  ==> beer,12.0 BUSD,-546.845 millions USD,,134
125,3739,177,Healthcare  ==> biotech,11.9 BUSD,0.0 millions USD,,123
126,5455,178,Diversified  ==> commodities,11.8 BUSD,0.0 millions USD,,145
127,7096,179,Real Estate  ==> real estate,11.8 BUSD,0.0 millions USD,,129
128,5521,180,Fashion & Retail  ==> drugstores,11.8 BUSD,-4.27 millions USD,,126
129,5093,181,Technology  ==> software,11.7 BUSD,0.0 millions USD,,110
130,3879,182,"Metals & Mining  ==> mining, copper products",11.7 BUSD,0.0 millions USD,,147
131,7108,183,"Finance and Investments  ==> banks, real estate",11.6 BUSD,0.0 millions USD,,119
132,4790,184,"Food and Beverage  ==> Oyster sauce, real estate",11.6 BUSD,0.0 millions USD,,127
133,7828,185,Fashion & Retail  ==> home improvement stores,11.5 BUSD,0.0 millions USD,,130
134,2282,186,"Food and Beverage  ==> snacks, beverages",11.3 BUSD,0.0 millions USD,,158
135,9888,187,Technology  ==> security software,11.3 BUSD,0.0 millions USD,,271
136,5741,188,Finance and Investments  ==> video surveillance,11.2 BUSD,0.0 millions USD,,139
137,4361,189,"Fashion & Retail  ==> retail, real estate",11.0 BUSD,0.0 millions USD,,142
138,1928,190,Finance and Investments  ==> hedge funds,11.0 BUSD,0.0 millions USD,,136
139,1567,191,"Diversified  ==> steel, investments",10.8 BUSD,0.013000000000000001 millions USD,,125
140,4463,192,Technology  ==> e-commerce,10.8 BUSD,0.0 millions USD,,144
141,5059,193,Real Estate  ==> real estate,10.8 BUSD,0.0 millions USD,,143
142,7864,194,Metals & Mining  ==> mining,10.7 BUSD,-67.973 millions USD,,165
143,6088,195,Finance and Investments  ==> banking,10.7 BUSD,0.0 millions USD,,113
144,2335,196,Technology  ==> eBay,10.5 BUSD,0.0 millions USD,,135
